For Account:,####2641

TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description

09/30/22,Dividend,MF,BJBHX,0.843,-5.94,0,0,abrdn Global High Income A    ABERDEEN                      REINVEST PRICE $  7.05
09/30/22,Dividend,MF,BJBHX,0,5.94,0,0,abrdn Global High Income A    ABERDEEN                      RECORD 09/28/22 PAY 09/30/22  DIVIDEND RATE      0.02880000
09/30/22,Dividend,EQ,OCSL,22.26172,-135.38,0,0,OAKTREE SPECIALTY LENDING     CORPORATION COMMON STOCK      REIN @   6.0812               REC 09/15/22 PAY 09/30/22
09/30/22,Dividend,EQ,CSWC,6.54506,-113.19,0,0,CAPITAL SOUTHWEST CORP        REIN @  17.2939               REC 09/15/22 PAY 09/30/22
09/30/22,Dividend,EQ,OCSL,0,135.38,0,0,OAKTREE SPECIALTY LENDING     CORPORATION COMMON STOCK      CASH DIV  ON                  796.34355 SHS
09/30/22,Dividend,EQ,CSWC,0,113.19,0,0,CAPITAL SOUTHWEST CORP        CASH DIV  ON                  226.37674 SHS                 REC 09/15/22 PAY 09/30/22
09/09/22,Dividend,EQ,SBLK,14.47869,-297,0,0,***STAR BULK CARRIERS CORP    COM                           REIN @  20.5129               REC 08/25/22 PAY 09/08/22
09/09/22,Dividend,EQ,SBLK,0,297,0,0,***STAR BULK CARRIERS CORP    COM                           CASH DIV  ON     180 SHS      REC 08/25/22 PAY 09/08/22
09/01/22,Dividend,EQ,PDO,1.42846,-21.12,0,0,PIMCO DYNAMIC INCOME          OPPORTUNITIES FD COM          REIN @  14.7851               REC 08/11/22 PAY 09/01/22
09/01/22,Dividend,EQ,PDO,0,21.12,0,0,PIMCO DYNAMIC INCOME          OPPORTUNITIES FD COM          CASH DIV  ON                  165.09030 SHS
08/31/22,Bought,EQ,MPLX,299,-9750.06,32.6089,0,MPLX LP                       COM UNIT REPSTG LTD PARTNER   INT
08/31/22,Bought,EQ,MPLX,1,-32.6,32.6,0,MPLX LP                       COM UNIT REPSTG LTD PARTNER   INT
08/31/22,Sold,EQ,COIN,-20,1355.56,67.78,0,COINBASE GLOBAL INC           CLASS A COMMON STOCK
08/31/22,Sold,EQ,TROW,-22,2636.27,119.8335,0,PRICE T ROWE GROUP INC
08/31/22,Sold,EQ,TROW,-0.2277,27.29,119.87,0,PRICE T ROWE GROUP INC
08/31/22,Sold,EQ,OKE,-0.33806,21.02,62.18,0,ONEOK INC
08/31/22,Sold,EQ,OKE,-97,6031.17,62.1786,0,ONEOK INC
08/31/22,Dividend,MF,BJBHX,0.836,-6.22,0,0,ABRDN GLOBAL HIGH INCOME A    ABERDEEN                      REINVEST PRICE $  7.44
08/31/22,Dividend,MF,BJBHX,0,6.22,0,0,ABRDN GLOBAL HIGH INCOME A    ABERDEEN                      RECORD 08/29/22 PAY 08/31/22  DIVIDEND RATE      0.03026000
08/25/22,Bought,EQ,TSLA,10,0,0,0,TESLA INC                     COMMON STOCK                  STK SPLIT ON       5 SHS      REC 08/17/22 PAY 08/24/22
08/23/22,Dividend,EQ,BTI,0,-0.62,0,0,***BRITISH AMERICAN TOBACCO   PLC SPONSORED ADR             AGENCY PROCESSING FEE
08/23/22,Dividend,EQ,BTI,2.00618,-81.46,0,0,***BRITISH AMERICAN TOBACCO   PLC SPONSORED ADR             REIN @  40.6046               REC 07/08/22 PAY 08/22/22
08/23/22,Dividend,EQ,BTI,0,82.08,0,0,***BRITISH AMERICAN TOBACCO   PLC SPONSORED ADR             CASH DIV  ON                  125.22061 SHS
08/15/22,Dividend,EQ,ORCC,7.17445,-98.25,0,0,OWL ROCK CAPITAL CORPORATION  COMMON STOCK $0.01 PAR VALUE  PER SHARE                     REIN @  13.6944
08/15/22,Dividend,EQ,OKE,1.41123,-89.69,0,0,ONEOK INC                     REIN @  63.5545               REC 08/01/22 PAY 08/15/22
08/15/22,Dividend,EQ,ORCC,0,98.25,0,0,OWL ROCK CAPITAL CORPORATION  COMMON STOCK $0.01 PAR VALUE  PER SHARE                     CASH DIV  ON
08/15/22,Dividend,EQ,OKE,0,89.69,0,0,ONEOK INC                     CASH DIV  ON                  95.92683 SHS                  REC 08/01/22 PAY 08/15/22
08/12/22,Dividend,EQ,MPLX,3.3425,-108.05,0,0,MPLX LP                       COM UNIT REPSTG LTD PARTNER   INT                           REIN @  32.3260
08/12/22,Dividend,EQ,MPLX,0,108.05,0,0,MPLX LP                       COM UNIT REPSTG LTD PARTNER   INT                           DIST      ON
08/03/22,Dividend,EQ,LOW,0.10956,-21.07,0,0,LOWES COMPANIES INC           REIN @ 192.3150               REC 07/20/22 PAY 08/03/22
08/03/22,Dividend,EQ,LOW,0,21.07,0,0,LOWES COMPANIES INC           CASH DIV  ON                  20.06739 SHS                  REC 07/20/22 PAY 08/03/22
08/01/22,Dividend,EQ,PDO,1.34102,-20.94,0,0,PIMCO DYNAMIC INCOME          OPPORTUNITIES FD COM          REIN @  15.6150               REC 07/11/22 PAY 08/01/22
08/01/22,Dividend,EQ,PDO,0,20.94,0,0,PIMCO DYNAMIC INCOME          OPPORTUNITIES FD COM          CASH DIV  ON                  163.74928 SHS
07/29/22,Dividend,MF,BJBHX,0.804,-6.08,0,0,ABRDN GLOBAL HIGH INCOME A    ABERDEEN                      REINVEST PRICE $  7.56
07/29/22,Dividend,MF,BJBHX,0,6.08,0,0,ABRDN GLOBAL HIGH INCOME A    ABERDEEN                      RECORD 07/27/22 PAY 07/29/22  DIVIDEND RATE      0.02968000
07/15/22,Dividend,EQ,WPC,0.18033,-14.83,0,0,W P CAREY INC                 COM                           REIN @  82.2389               REC 06/30/22 PAY 07/15/22
07/15/22,Dividend,EQ,AFCG,17.50013,-267.12,0,0,AFC GAMMA INC                 COMMON STOCK                  REIN @  15.2638               REC 06/30/22 PAY 07/15/22
07/15/22,Dividend,EQ,WPC,0,14.83,0,0,W P CAREY INC                 COM                           CASH DIV  ON      14 SHS      REC 06/30/22 PAY 07/15/22
07/15/22,Dividend,EQ,AFCG,0,267.12,0,0,AFC GAMMA INC                 COMMON STOCK                  CASH DIV  ON     477 SHS      REC 06/30/22 PAY 07/15/22
